,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
0,0.0,29.4,56.47,100.25,352.41999999999996,inf,1669.33,1875.2799999999997,1944.1,inf,inf,inf,inf,2658.8,2675.67,2794.08,2683.25,2700.62,2740.0,inf,inf,inf,inf,inf,inf,inf,2714.42,2781.54,inf,inf,inf,inf,inf,918.56,1121.96,inf,1721.35,1794.98,inf,inf,inf,inf,1188.86,1932.36,inf,1524.05,1337.2,1309.65,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2353.25,2563.3500000000004,inf,inf,2386.52,2652.12,inf,2057.65,inf,1765.33,1965.67,inf,inf,inf,1546.84,1364.78,1406.11,1474.99,1573.69,1289.01,1413.3899999999999,inf,inf,inf,2414.67,inf,1495.67
1,98.42999999999999,0.0,27.07,70.85,323.02,inf,1639.93,1845.88,1914.7,inf,inf,inf,inf,2629.4,2646.27,2764.68,2653.85,2671.22,2710.6,inf,inf,inf,inf,inf,inf,inf,2685.02,2752.14,inf,inf,inf,inf,inf,889.16,1092.56,inf,1691.9499999999998,1765.58,inf,inf,inf,inf,1159.46,1902.9599999999998,inf,1494.6499999999999,1307.8,1280.25,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2323.8500000000004,2533.95,inf,inf,2357.12,2622.72,inf,2028.25,inf,1735.9299999999998,1936.27,inf,inf,inf,1517.4399999999998,1335.3799999999999,1376.7099999999998,1445.59,1544.29,1259.61,1383.99,inf,inf,inf,2385.27,inf,1466.27
2,71.36,100.75999999999999,0.0,43.78,423.78,inf,1612.86,1818.81,1887.6299999999999,inf,inf,inf,inf,2602.33,2619.2,2737.6099999999997,2626.7799999999997,2644.1499999999996,2683.5299999999997,inf,inf,inf,inf,inf,inf,inf,2657.95,2725.0699999999997,inf,inf,inf,inf,inf,862.0899999999999,1065.49,inf,1664.88,1738.51,inf,inf,inf,inf,1132.3899999999999,1875.8899999999999,inf,1467.58,1280.73,1253.18,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2296.78,2506.88,inf,inf,2330.05,2595.6499999999996,inf,2001.1799999999998,inf,1708.86,1909.2,inf,inf,inf,1490.37,1308.31,1349.6399999999999,1418.52,1517.22,1232.54,1356.9199999999998,inf,inf,inf,2358.2,inf,1439.2
3,27.58,56.98,84.05,0.0,380.0,inf,1569.08,1775.0299999999997,1843.85,inf,inf,inf,inf,2558.55,2575.42,2693.83,2583.0,2600.37,2639.75,inf,inf,inf,inf,inf,inf,inf,2614.17,2681.29,inf,inf,inf,inf,inf,818.31,1021.7099999999999,inf,1621.1,1694.73,inf,inf,inf,inf,1088.61,1832.11,inf,1423.8,1236.95,1209.4,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2253.0,2463.1000000000004,inf,inf,2286.27,2551.87,inf,1957.4,inf,1665.08,1865.42,inf,inf,inf,1446.59,1264.53,1305.86,1374.74,1473.44,1188.76,1313.1399999999999,inf,inf,inf,2314.42,inf,1395.42
4,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
5,396.22999999999996,425.63,324.87,368.65,748.65,0.0,1937.73,2143.68,2212.5,inf,inf,inf,inf,2927.2,2944.0699999999997,3062.4799999999996,2951.6499999999996,2969.0199999999995,3008.3999999999996,inf,inf,inf,inf,inf,inf,inf,2982.8199999999997,3049.9399999999996,inf,inf,inf,inf,inf,1186.96,1390.3600000000001,inf,1989.75,2063.38,inf,inf,inf,inf,1457.26,2200.76,inf,1792.45,1605.6000000000001,1578.0500000000002,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2621.6500000000005,2831.75,inf,inf,2654.92,2920.52,inf,2326.05,inf,2033.73,2234.07,inf,inf,inf,1815.24,1633.18,1674.51,1743.39,1842.0900000000001,1557.41,1681.79,inf,inf,inf,2683.0699999999997,inf,1764.0700000000002
6,inf,inf,inf,inf,inf,inf,0.0,205.95,274.77,inf,inf,inf,inf,989.4699999999999,1006.3399999999999,1124.75,1013.9199999999998,1031.29,1070.6699999999998,inf,inf,inf,inf,inf,inf,inf,1045.09,1112.21,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,745.3399999999999,inf,inf
7,inf,inf,inf,inf,inf,inf,inf,0.0,68.82,inf,inf,inf,inf,783.52,800.39,918.8,807.97,825.3399999999999,864.72,inf,inf,inf,inf,inf,inf,inf,839.14,906.26,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,539.39,inf,inf
8,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
9,2525.4300000000003,2554.83,2581.9,2625.6800000000003,2877.8500000000004,inf,2430.78,2636.73,2705.55,0.0,61.52,inf,inf,3420.25,3437.12,3555.5299999999997,3444.7,3462.0699999999997,3501.45,inf,inf,inf,inf,inf,inf,inf,3475.87,3542.99,inf,inf,inf,inf,inf,3443.99,2011.2800000000002,inf,1574.6400000000003,1648.27,inf,inf,inf,inf,1950.31,1785.65,883.26,1059.56,1190.49,1383.3700000000001,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1888.7600000000002,2098.86,inf,inf,2239.81,2505.41,inf,1910.94,inf,1618.62,1818.96,inf,inf,inf,1400.13,1218.0700000000002,1259.4,1328.2800000000002,1426.98,1362.73,2174.84,402.62,531.66,inf,3176.12,inf,1348.96
